issue,title,primary finding,validator comment,status,root cause (URL),size
findings-12,"If liquidity is insufficient, users may need to pay more tokens in swap2",findings-12,User will not get a refund if swap became cheaper,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/seawater/src/lib.rs#L290,105
findings-17,"Incorrect token-in transfer amount implementation in swap2, which might cause user loss of funds.",findings-12,User will not get a refund if swap became cheaper,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/seawater/src/lib.rs#L290,202
validation-79,Incorrect amount taken users may lead to paying excess during erc20 swaps,findings-12,User will not get a refund if swap became cheaper,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/seawater/src/lib.rs#L290,174
findings-18,"Mis-configured ticks are allowed in positions due to insufficient checks, all subsequent swaps can be incorrect ",validation-59,Ticks can be set in incorrect order,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/seawater/src/pool.rs#L83C9-L84C74,198
findings-20,Positions with incorrect tick values can be created,validation-59,Ticks can be set in incorrect order,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/seawater/src/pool.rs#L83C9-L84C74,83
findings-38,Insufficient validation of tickLower and tickUpper when creating a new position,validation-59,Ticks can be set in incorrect order,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/seawater/src/pool.rs#L83C9-L84C74,265
findings-9,Unchecked tickLower < tickUpper,validation-59,Ticks can be set in incorrect order,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/seawater/src/pool.rs#L83C9-L84C74,71
validation-155,Incorrect Tick Order in Position Creation Allows Protocol Accounting Manipulation,validation-59,Ticks can be set in incorrect order,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/seawater/src/pool.rs#L83C9-L84C74,32
validation-189,Missing Tick Range Validation in create_position Function,validation-59,Ticks can be set in incorrect order,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/seawater/src/pool.rs#L83C9-L84C74,217
validation-190,Invariant Broken: Pools can be created with `upper tick <= lower tick`,validation-59,Ticks can be set in incorrect order,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/seawater/src/pool.rs#L83C9-L84C74,73
validation-209,Creation of positions with invalid tick range,validation-59,Ticks can be set in incorrect order,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/seawater/src/pool.rs#L83C9-L84C74,242
validation-223,Tick `low` can be set higher than tick `up` when creating a position in `pool.create_position`,validation-59,Ticks can be set in incorrect order,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/seawater/src/pool.rs#L83C9-L84C74,64
validation-241,"when minting position we can pass low tick > upper tick, unlike UniswapV3",validation-59,Ticks can be set in incorrect order,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/seawater/src/pool.rs#L83C9-L84C74,211
validation-42,Missing `lower<upper` check in `mint_position`,validation-59,Ticks can be set in incorrect order,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/seawater/src/pool.rs#L83C9-L84C74,115
validation-59,An attacker can create invalid positions to inflate a pool,validation-59,Ticks can be set in incorrect order,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/seawater/src/pool.rs#L83C9-L84C74,151
validation-84,The StoragePositions new function doesn't validate low and up parameters as it states it should,validation-59,Ticks can be set in incorrect order,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/seawater/src/pool.rs#L83C9-L84C74,29
validation-87,Missing Validation for Tick Bounds in Position Creation,validation-59,Ticks can be set in incorrect order,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/seawater/src/pool.rs#L83C9-L84C74,69
validation-88,No Validation of Input Ranges,validation-59,Ticks can be set in incorrect order,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/seawater/src/pool.rs#L83C9-L84C74,43
findings-30,"swap_2 implementation will randomly revert due to improper check, root cause for failed test ethers_suite_uniswap_orchestrated_uniswap_two",findings-30,Strict equality. Protocol is not considering the possibility of remaining funds,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/seawater/src/lib.rs#L241,147
findings-34,`swap_2_internal` is unusable because of wrong check,findings-30,Strict equality. Protocol is not considering the possibility of remaining funds,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/seawater/src/lib.rs#L241,55
validation-235,swap2ExactIn41203F1D() function won't work,findings-30,Strict equality. Protocol is not considering the possibility of remaining funds,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/seawater/src/lib.rs#L241,181
validation-46,Unnecessary assertion in `swap_2_internal` causes valid swaps to fail,findings-30,Strict equality. Protocol is not considering the possibility of remaining funds,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/seawater/src/lib.rs#L241,108
findings-35,"swapOut functions have invalid slippage check, causing user loss of funds",validation-154,Slippage protection will not work due to a logic error,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/sol/SeawaterAMM.sol#L316,98
validation-154,Incorrect Decoding of Swap Results Leads to Ineffective Slippage Protection,validation-154,Slippage protection will not work due to a logic error,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/sol/SeawaterAMM.sol#L316,32
findings-10,Volatile pools with higher fee structure cannot be created because of tick_spacing,findings-10,Seems QA as this is a feature request rather than a security concern,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/main/pkg/seawater/src/pool.rs#L53,57
validation-33,Lp's liquidity may be lost if re-org happens,validation-33,Re-org can make a user to burn its position with funds there,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/seawater/src/lib.rs#L529-L543,52
findings-14,Unset `fee_protocol` forces protocol fee loss during swaps,findings-8,Protocol fee lacks a setter,Satisfactory,https://github.com/code-423n4/2024-08-superposition/blob/4528c9d2dbe1550d2660dac903a8246076044905/pkg/seawater/src/pool.rs#L31,81
