issue,title,validator comment,status,size,Best
validation-35,QA Report,,Unsatisfactory,1,
findings-39,QA Report,,Unsatisfactory,9,
validation-175,QA Report,,Unsatisfactory,28,
validation-2,QA Report,,Unsatisfactory,33,
validation-3,QA Report,,Unsatisfactory,34,
validation-224,QA Report,,Unsatisfactory,36,
validation-4,QA Report,,Unsatisfactory,36,
validation-164,QA Report,,Unsatisfactory,37,
validation-94,QA Report,Seems to be a duplicate of findings-8      ,Unsatisfactory,61,
validation-89,QA Report,,Unsatisfactory,100,
validation-206,QA Report,,Unsatisfactory,200,
validation-127,QA Report,Reapeting its reports. Spam,Unsatisfactory,482,
validation-257,QA Report,L-03 seems to be a duplicate of findings-8      ,Satisfactory,105,
validation-258,QA Report,Q-03 seems to be a duplicate of validation-93,Satisfactory,237,
findings-41,QA Report,,Satisfactory,251,
validation-187,QA Report,"L02 seems to be a duplicate of validation-63, L06 seems to be duplicate of validation-10 ",Satisfactory,280,
findings-36,QA Report,,Satisfactory,514,
validation-104,QA Report,L02 seems to be a duplicate of validation-10,Satisfactory,670,
validation-7,QA Report,,Unsatisfactory,108,
validation-149,QA Report,GPT,Unsatisfactory,229,
